,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,196346.07603025436,682312.6642608643
Total Return (%),96.34607603025435,583.3376707670147
CAGR (%),2.740874304044927,13.696105843154726
Volatility (%),14.400885591069217,17.046918553598747
Sharpe Ratio,0.1903267883570087,0.8034358702478439
Sortino Ratio,0.18128177978954393,0.9833300775573313
Max Drawdown (%),-32.8036728701911,-33.7104516877493
Calmar Ratio,0.08355388480097838,0.4062866309243795
Win Rate (%),29.82344520439001,55.302226935312824
Avg Win (%),0.8114633122255447,0.7005343740641709
Avg Loss (%),-0.89871653976664,-0.7450753505959562
Total Trades,6288.0,3773.0
Alpha (%),-10.9552315391098,0.0
Relative Sharpe,-0.6131090818908352,0.0
Relative Max DD (%),0.9067788175581981,0.0
Relative Volatility (%),-2.64603296252953,0.0
