,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,410172.20562665025,770898.186416626
Total Return (%),310.1722056266502,672.0562708228603
CAGR (%),7.2258814988080955,10.631170709271242
Volatility (%),16.051692541588487,18.943815361258373
Sharpe Ratio,0.45016321363535267,0.561194801920042
Sortino Ratio,0.49034571295842494,0.6823241977012972
Max Drawdown (%),-29.56698842873533,-55.179715792721055
Calmar Ratio,0.24439017576052702,0.19266447020507554
Win Rate (%),35.60918187168923,55.130468903276444
Avg Win (%),0.8570323088461734,0.7373258128241953
Avg Loss (%),-0.9181771129331608,-0.8063051746963953
Total Trades,235.0,1.0
Alpha (%),-3.4052892104631463,0.0
Relative Sharpe,-0.11103158828468934,0.0
Relative Max DD (%),25.612727363985726,0.0
Relative Volatility (%),-2.8921228196698863,0.0
