,Value
Initial Capital,100000.0
Final Equity,249255.8173449845
Total Return (%),149.62928483656546
CAGR (%),9.13207587694551
Volatility (%),18.33557428155012
Sharpe Ratio,0.4980523509500609
Sortino Ratio,0.7048981318981292
Max Drawdown (%),-27.87051823176115
Calmar Ratio,0.3276607848123408
Win Rate (%),52.59764884338263
Avg Win (%),0.8532459237748906
Avg Loss (%),-0.8967830755060056
Total Trades,2638.0
