date,filter_type,filter_period,score,is_reeval
2007-10-04,EMA,12,0.0,False
2008-01-03,TEMA,105,8.038585700380215,True
2008-04-03,TEMA,105,0.7394921137270374,True
2008-07-10,TEMA,105,1.8711435565327903,True
2008-10-09,Double_EMA,90,-1.066117923062349,True
2009-01-08,TEMA,120,-0.6746480532358284,True
2009-04-16,TEMA,120,-0.7476228332233185,True
2009-07-16,TEMA,90,-0.6668283907393275,True
2009-10-15,TEMA,45,-0.08862602611749926,True
2010-01-14,TEMA,45,0.16326039456407232,True
2010-04-15,TEMA,45,0.6704344825042571,True
2010-07-15,TEMA,45,0.4623419289193024,True
2010-10-14,TEMA,45,0.8943037651328901,True
2011-01-13,TEMA,45,1.078968928707271,True
2011-04-14,TEMA,45,1.384283051674339,True
2011-07-14,TEMA,45,1.2879150243942237,True
2011-10-13,TEMA,45,0.9958703954845219,True
2012-01-12,TEMA,120,1.4070549117733793,True
2012-04-12,TEMA,120,1.8052493990683534,True
2012-07-12,TEMA,105,2.1214113822180343,True
2012-10-11,TEMA,90,2.358472457190144,True
2013-01-10,Double_EMA,63,2.160637297147813,True
2013-04-11,TEMA,45,3.1450229084671317,True
2013-07-11,TEMA,45,3.71746638765332,True
2013-10-10,TEMA,25,4.492517545517302,True
2014-01-09,TEMA,25,3.9479130945115792,True
2014-04-10,TEMA,25,3.21008388926707,True
2014-07-10,TEMA,25,3.2547151044631493,True
2014-10-09,TEMA,25,2.6757359456262795,True
2015-01-08,TEMA,120,3.5099805701705056,True
2015-04-09,TEMA,105,4.1976270107488745,True
2015-07-09,TEMA,105,4.487993574264706,True
2015-10-08,TEMA,105,3.0658343863578152,True
2016-01-07,TEMA,105,2.5361350063521044,True
2016-04-07,TEMA,105,2.7829178447337926,True
2016-07-07,Double_EMA,120,2.932487216755368,True
2016-10-06,Double_EMA,12,1.8779502664078782,True
2017-01-05,Double_EMA,12,2.0531785795184567,True
2017-04-06,Double_EMA,12,2.3124846970115236,True
2017-07-06,EMA,45,2.233910143543411,True
2017-10-05,EMA,12,1.993287704521988,True
2018-01-04,EMA,12,2.0702052651194895,True
2018-04-05,EMA,12,2.2002446813404637,True
2018-07-05,EMA,12,2.171820686681961,True
2018-10-04,EMA,12,2.6469171106825993,True
2019-01-03,EMA,12,1.507845281564266,True
2019-04-04,EMA,12,1.9699926061498763,True
2019-07-03,EMA,12,2.144784897919236,True
2019-10-03,TEMA,120,1.9622854377037395,True
2020-01-02,Double_EMA,105,2.634910897475522,True
2020-04-02,TEMA,90,1.0811443099967648,True
2020-07-09,Double_EMA,105,2.6996353204306573,True
2020-10-08,Double_EMA,90,3.4589685691905525,True
2021-01-07,Double_EMA,75,3.2199408093047617,True
2021-04-08,TEMA,63,3.779739051068521,True
2021-07-08,TEMA,63,4.019197995194167,True
2021-10-07,TEMA,63,3.521898535717115,True
2022-01-06,EMA,12,3.555376646888569,True
2022-04-07,EMA,12,5.019983490097119,True
2022-07-07,EMA,12,3.567236739041457,True
2022-10-06,TEMA,90,3.445854902458902,True
2023-01-05,TEMA,63,4.065655106236184,True
2023-04-13,TEMA,63,3.5051698348472327,True
2023-07-13,Double_EMA,63,3.8844043519647666,True
2023-10-12,TEMA,90,3.558445827813652,True
2024-01-11,TEMA,75,3.5527421282662357,True
2024-04-11,TEMA,63,3.9017440738376146,True
2024-07-11,Double_EMA,63,4.2448016461833635,True
2024-10-10,EMA,12,4.027509115181507,True
