,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,176358.4752990217,710890.2021102905
Total Return (%),76.35847529902169,611.9581393192694
CAGR (%),2.882001158881442,10.329204200619024
Volatility (%),15.514509259794485,19.02558030664666
Sharpe Ratio,0.18576167061565302,0.5429113874130019
Sortino Ratio,0.201838554290839,0.6604483464306302
Max Drawdown (%),-41.371797418932154,-55.15771981325584
Calmar Ratio,0.06966100915795863,0.18726670057409892
Win Rate (%),39.71377459749553,55.05863645398529
Avg Win (%),0.7622878717387551,0.740472266090697
Avg Loss (%),-0.8254972375358507,-0.8100705209265273
Total Trades,5032.0,5032.0
Alpha (%),-7.447203041737582,0.0
Relative Sharpe,-0.3571497167973489,0.0
Relative Max DD (%),13.785922394323684,0.0
Relative Volatility (%),-3.511071046852175,0.0
