,Value
Initial Capital,100000.0
Final Equity,265536.44169224164
Total Return (%),165.53644169224162
CAGR (%),8.700180380389156
Volatility (%),30.36054239847325
Sharpe Ratio,0.28656208661234805
Sortino Ratio,0.4201380908700486
Max Drawdown (%),-45.24893805438216
Calmar Ratio,0.19227369203522296
Win Rate (%),51.30552729738894
Avg Win (%),1.3449785229786992
Avg Loss (%),-1.3996396107081794
Total Trades,2950.0
