,Value
Initial Capital,100000.0
Final Equity,571711.0486344579
Total Return (%),471.7110486344579
CAGR (%),9.000404337844103
Volatility (%),18.21925031705206
Sharpe Ratio,0.494005196768184
Sortino Ratio,0.5732412902246411
Max Drawdown (%),-28.431675841092073
Calmar Ratio,0.31656256874017574
Win Rate (%),39.29762605454189
Avg Win (%),0.9374320671948473
Avg Loss (%),-0.9868241672467163
Total Trades,189.0
