,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,571711.0486344579,770898.32762146
Total Return (%),471.7110486344579,672.0564122398197
CAGR (%),9.000404337844103,10.631171710955222
Volatility (%),18.21925031705206,18.94381351600049
Sharpe Ratio,0.494005196768184,0.5611949094608554
Sortino Ratio,0.5732412902246411,0.6823239733133721
Max Drawdown (%),-28.431675841092073,-55.179689081947394
Calmar Ratio,0.31656256874017574,0.19266458162109
Win Rate (%),39.29762605454189,55.130468903276444
Avg Win (%),0.9374320671948473,0.7373256103831165
Avg Loss (%),-0.9868241672467163,-0.8063049187491702
Total Trades,189.0,1.0
Alpha (%),-1.6307673731111194,0.0
Relative Sharpe,-0.06718971269267138,0.0
Relative Max DD (%),26.74801324085532,0.0
Relative Volatility (%),-0.7245631989484274,0.0
