,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,142702.35893030933,710890.0812072754
Total Return (%),42.70235893030934,611.9580182346273
CAGR (%),6.644213059518167,10.3292032609281
Volatility (%),28.12125917429312,19.025592723524152
Sharpe Ratio,0.2362701121716461,0.5429109836960075
Sortino Ratio,0.2457801687054741,0.660447574062332
Max Drawdown (%),-51.29675782123838,-55.157715806693176
Calmar Ratio,0.12952500980027368,0.187266697140397
Win Rate (%),41.16379310344828,55.05863645398529
Avg Win (%),1.2624825594333084,0.7404726472832263
Avg Loss (%),-1.3448393898682018,-0.8100709773230417
Total Trades,1393.0,5032.0
Alpha (%),-3.684990201409933,0.0
Relative Sharpe,-0.3066408715243615,0.0
Relative Max DD (%),3.860957985454796,0.0
Relative Volatility (%),9.095666450768967,0.0
