,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,546021.277450304,710890.0812072754
Total Return (%),446.02127745030396,611.9580182346273
CAGR (%),8.87272172558542,10.3292032609281
Volatility (%),14.109490138727102,19.025596249348123
Sharpe Ratio,0.6288477923969745,0.5429108830837305
Sortino Ratio,0.6434407853771044,0.6604476649141925
Max Drawdown (%),-36.65669327500518,-55.15770968926639
Calmar Ratio,0.2420491575445894,0.18726671790975666
Win Rate (%),41.78095806002783,55.05863645398529
Avg Win (%),0.6439794221327965,0.740472689523174
Avg Loss (%),-0.7036908947289783,-0.8100710240175057
Total Trades,5032.0,5032.0
Alpha (%),-1.4564815353426805,0.0
Relative Sharpe,0.08593690931324405,0.0
Relative Max DD (%),18.50101641426121,0.0
Relative Volatility (%),-4.916106110621021,0.0
