date,filter_type,filter_period,score,is_reeval
2004-12-31,EMA,12,0.0,False
2005-04-01,EMA,12,0.6247365640140022,True
2005-07-01,Double_EMA,45,1.306422801575038,True
2005-09-30,Double_EMA,45,2.2181581740031633,True
2005-12-30,Double_EMA,105,2.263782139966491,True
2006-03-31,Double_EMA,45,2.7769122189073863,True
2006-06-30,TEMA,120,2.6016948955802173,True
2006-09-29,Double_EMA,45,2.7869799334382175,True
2006-12-29,Double_EMA,45,3.785921255353516,True
2007-03-30,EMA,12,3.472843261035601,True
2007-06-29,TEMA,25,4.9581598887406155,True
2007-09-28,EMA,12,5.304721760850725,True
2007-12-28,TEMA,45,3.4952993533220407,True
2008-03-28,TEMA,25,1.7513116337074057,True
2008-06-27,EMA,12,0.8337763182414258,True
2008-09-26,EMA,12,-0.19723219203491127,True
2008-12-26,EMA,45,-1.0031887328294713,True
2009-03-27,EMA,12,-1.0674074219804106,True
2009-06-26,TEMA,120,-0.19746068183154178,True
2009-09-25,TEMA,120,4.288609123031214,True
2009-12-24,TEMA,105,5.069704561436391,True
2010-03-26,Double_EMA,120,8.242673969811316,True
2010-06-25,Double_EMA,90,4.7614033053066835,True
2010-09-24,Double_EMA,63,4.436771314716292,True
2010-12-23,Double_EMA,25,8.7304027539206,True
2011-03-25,TEMA,25,6.15508845842297,True
2011-06-24,EMA,12,5.630385616950683,True
2011-09-23,EMA,25,1.2492207183055035,True
2011-12-23,TEMA,45,2.1155360660970883,True
2012-03-23,Double_EMA,25,3.16710707806486,True
2012-06-22,EMA,45,2.5403491477920523,True
2012-09-21,TEMA,105,2.906770997805008,True
2012-12-21,TEMA,63,3.0074785581325036,True
2013-03-22,Double_EMA,63,4.685104952445831,True
2013-06-21,EMA,63,5.025707045908624,True
2013-09-20,EMA,45,5.583669108455855,True
2013-12-20,TEMA,75,5.350257706431908,True
2014-03-21,Double_EMA,25,5.8538423520894876,True
2014-06-20,EMA,12,5.629414750518481,True
2014-09-19,TEMA,12,6.133974016632728,True
2014-12-19,EMA,12,5.264617192041058,True
2015-03-20,EMA,12,3.7194038835383902,True
2015-06-19,Double_EMA,25,3.367779928630465,True
2015-09-18,EMA,12,1.4062306343634572,True
2015-12-18,TEMA,12,1.29869717139398,True
2016-03-18,EMA,25,1.1216854633795756,True
2016-06-17,TEMA,105,1.3095298669365736,True
2016-09-16,TEMA,120,2.741052449787252,True
2016-12-16,TEMA,90,4.714338032035064,True
2017-03-17,Double_EMA,105,6.120713451854738,True
2017-06-16,Double_EMA,75,6.518472658388761,True
2017-09-15,Double_EMA,45,7.698418027457621,True
2017-12-15,EMA,25,11.141753735597163,True
2018-03-16,EMA,45,6.974550775678909,True
2018-06-15,EMA,12,5.991119475032527,True
2018-09-14,TEMA,12,7.095607127896622,True
2018-12-14,EMA,12,2.721929203402256,True
2019-03-15,EMA,25,2.884604582105786,True
2019-06-14,EMA,12,2.38378512343575,True
2019-09-13,EMA,12,2.2429511051840274,True
2019-12-13,TEMA,90,3.236011234712471,True
2020-03-13,EMA,12,0.014394110057036882,True
2020-06-12,TEMA,45,0.9270202814347791,True
2020-09-11,TEMA,25,1.0437765010979247,True
2020-12-11,TEMA,120,3.101114501483366,True
2021-03-12,TEMA,90,4.485130318252336,True
2021-06-11,Double_EMA,105,4.557691174000246,True
2021-09-10,TEMA,45,10.591954143379896,True
2021-12-10,TEMA,25,7.82208112240323,True
2022-03-11,EMA,12,4.125174643879906,True
2022-06-10,EMA,12,1.444800307028458,True
2022-09-09,TEMA,12,0.7391530641621186,True
2022-12-09,EMA,25,0.05162983207600068,True
2023-03-10,EMA,12,-0.3213657040313375,True
2023-06-09,TEMA,120,0.6879526309914538,True
2023-09-08,TEMA,120,0.5911714218492403,True
2023-12-08,TEMA,105,2.5084621428949756,True
2024-03-08,Double_EMA,75,4.187303273692576,True
2024-06-07,Double_EMA,45,4.872712477132304,True
2024-09-06,EMA,12,4.818409167621953,True
2024-12-06,EMA,63,5.902065001676516,True
