,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,142702.3846177226,219270.86108398438
Total Return (%),42.7023846177226,119.60026147619867
CAGR (%),6.644216532287239,15.292996867587338
Volatility (%),28.12127502202631,20.312650592298876
Sharpe Ratio,0.23627010251430922,0.7528804179492637
Sortino Ratio,0.2457801482139225,0.9129715208569303
Max Drawdown (%),-51.2967961600146,-33.7111317874899
Calmar Ratio,0.12952498069394727,0.45364827748864023
Win Rate (%),41.16379310344828,55.172413793103445
Avg Win (%),1.2624830712547408,0.826678920308164
Avg Loss (%),-1.3448398925164062,-0.8758105498104317
Total Trades,1393.0,1393.0
Alpha (%),-8.6487803353001,0.0
Relative Sharpe,-0.5166103154349545,0.0
Relative Max DD (%),-17.585664372524704,0.0
Relative Volatility (%),7.808624429727434,0.0
