,Value
Initial Capital,100000.0
Final Equity,401363.9198551784
Total Return (%),301.36391985517844
CAGR (%),11.170824143138457
Volatility (%),32.859839240512336
Sharpe Ratio,0.33995370644924333
Sortino Ratio,0.5036088983644237
Max Drawdown (%),-63.16345415183008
Calmar Ratio,0.17685581469763234
Win Rate (%),49.57652752571083
Avg Win (%),1.5213932873545417
Avg Loss (%),-1.4850898186663712
Total Trades,3307.0
