date,equity,cash,position_value,position,shares
2005-01-03,100000.0,100000.0,0.0,,0
2005-01-04,100000.0,100000.0,0.0,,0
2005-01-05,100000.0,100000.0,0.0,,0
2005-01-06,100000.0,100000.0,0.0,,0
2005-01-07,100000.0,100000.0,0.0,,0
2005-01-10,100000.0,100000.0,0.0,,0
2005-01-11,100000.0,100000.0,0.0,,0
2005-01-12,100000.0,100000.0,0.0,,0
2005-01-13,100000.0,100000.0,0.0,,0
2005-01-14,100000.0,100000.0,0.0,,0
2005-01-18,100000.0,100000.0,0.0,,0
2005-01-19,100000.0,100000.0,0.0,,0
2005-01-20,100000.0,100000.0,0.0,,0
2005-01-21,100000.0,100000.0,0.0,,0
2005-01-24,100000.0,100000.0,0.0,,0
2005-01-25,100000.0,100000.0,0.0,,0
2005-01-26,100000.0,100000.0,0.0,,0
2005-01-27,100000.0,100000.0,0.0,,0
2005-01-28,100000.0,100000.0,0.0,,0
2005-01-31,100000.0,100000.0,0.0,,0
2005-02-01,100000.0,100000.0,0.0,,0
2005-02-02,100000.0,100000.0,0.0,,0
2005-02-03,100000.0,100000.0,0.0,,0
2005-02-04,100000.0,100000.0,0.0,,0
2005-02-07,99850.37595266342,101.01106161117787,99749.36489105225,XLE,4628
2005-02-08,100570.39377492905,101.01106161117787,100469.38271331787,XLE,4628
2005-02-09,100390.3363561058,101.01106161117787,100289.32529449463,XLE,4628
2005-02-10,103141.91878408432,101.01106161117787,103040.90772247314,XLE,4628
2005-02-11,104041.90575307846,101.01106161117787,103940.89469146729,XLE,4628
2005-02-14,104170.55350393296,101.01106161117787,104069.54244232178,XLE,4628
2005-02-15,104401.95880025864,101.01106161117787,104300.94773864746,XLE,4628
2005-02-16,107333.45741170883,101.01106161117787,107232.44635009766,XLE,4628
2005-02-17,105893.45707601547,101.01106161117787,105792.4460144043,XLE,4628
2005-02-18,108233.56796163559,101.01106161117787,108132.55690002441,XLE,4628
2005-02-22,107462.07868093491,101.01106161117787,107361.06761932373,XLE,4628
2005-02-23,108824.96451467514,101.01106161117787,108723.95345306396,XLE,4628
2005-02-24,110959.32197469712,101.01106161117787,110858.31091308594,XLE,4628
2005-02-25,113685.13777822495,101.01106161117787,113584.12671661377,XLE,4628
2005-02-28,112862.26531118393,101.01106161117787,112761.25424957275,XLE,4628
2005-03-01,110676.45404714585,101.01106161117787,110575.44298553467,XLE,4628
2005-03-02,112296.55593770981,101.01106161117787,112195.54487609863,XLE,4628
2005-03-03,114148.04547018051,101.01106161117787,114047.03440856934,XLE,4628
2005-03-04,115613.72415822983,101.01106161117787,115512.71309661865,XLE,4628
2005-03-07,114816.66245168686,101.01106161117787,114715.65139007568,XLE,4628
2005-03-08,114688.07649129868,101.01106161117787,114587.0654296875,XLE,4628
2005-03-09,111525.06665700913,101.01106161117787,111424.05559539795,XLE,4628
2005-03-10,109262.1761998558,101.01106161117787,109161.16513824463,XLE,4628
2005-03-11,110162.11903280258,101.01106161117787,110061.1079711914,XLE,4628
2005-03-14,110959.32197469712,101.01106161117787,110858.31091308594,XLE,4628
2005-03-15,109416.44933980942,101.01106161117787,109315.43827819824,XLE,4628
2005-03-16,109776.41411489487,101.01106161117787,109675.40305328369,XLE,4628
2005-03-17,111679.36627859116,101.01106161117787,111578.35521697998,XLE,4628
2005-03-18,113057.18775075913,101.01106161117787,112956.17668914795,XLE,4628
2005-03-21,112076.69663137436,101.01106161117787,111975.68556976318,XLE,4628
2005-03-22,110735.0931996727,101.01106161117787,110634.08213806152,XLE,4628
2005-03-23,108619.42294210434,101.01106161117787,108518.41188049316,XLE,4628
2005-03-24,108541.94652456284,101.01106161117787,108440.93546295166,XLE,4628
2005-03-28,108345.8197866459,117.03015575600148,108228.78963088989,XLI,5274
2005-03-29,106568.05985698891,117.03015575600148,106451.02970123291,XLI,5274
2005-03-30,108594.6480337162,117.03015575600148,108477.6178779602,XLI,5274
2005-03-31,108310.18954525185,117.03015575600148,108193.15938949585,XLI,5274
2005-04-01,107279.15578136635,117.03015575600148,107162.12562561035,XLI,5274
2005-04-04,106851.76798439218,121.75647926522652,106730.01150512695,XLE,4396
2005-04-05,105503.82610511972,121.75647926522652,105382.06962585449,XLE,4396
2005-04-06,107170.4202976246,121.75647926522652,107048.66381835938,XLE,4396
2005-04-07,106753.66694069101,121.75647926522652,106631.91046142578,XLE,4396
2005-04-08,104817.66380500986,121.75647926522652,104695.90732574463,XLE,4396
2005-04-11,105601.87684059335,121.75647926522652,105480.12036132812,XLE,4396
2005-04-12,103935.36649513437,121.75647926522652,103813.61001586914,XLE,4396
2005-04-13,101386.58399391366,121.75647926522652,101264.82751464844,XLE,4396
2005-04-14,101337.55862617685,121.75647926522652,101215.80214691162,XLE,4396
2005-04-15,97489.92669105722,121.75647926522652,97368.17021179199,XLE,4396
2005-04-18,98957.47585932161,110.17246500398323,98847.30339431763,VUG,2553
2005-04-19,99390.2151247635,110.17246500398323,99280.04265975952,VUG,2553
2005-04-20,98277.49457804109,110.17246500398323,98167.32211303711,VUG,2553
2005-04-21,99926.01166407015,110.17246500398323,99815.83919906616,VUG,2553
2005-04-22,98998.70071665193,110.17246500398323,98888.52825164795,VUG,2553
2005-04-25,99750.23913355258,123.17999048616912,99627.0591430664,XLE,4192
2005-04-26,98114.32226343539,123.17999048616912,97991.14227294922,XLE,4192
2005-04-27,95590.33349390414,123.17999048616912,95467.15350341797,XLE,4192
2005-04-28,93673.93877954867,123.17999048616912,93550.7587890625,XLE,4192
2005-04-29,94889.27081079867,123.17999048616912,94766.0908203125,XLE,4192
2005-05-02,96306.24039763548,103.1309101019142,96203.10948753357,XLF,6271
2005-05-03,96407.52002352812,103.1309101019142,96304.38911342621,XLF,6271
2005-05-04,98263.41609114745,103.1309101019142,98160.28518104553,XLF,6271
2005-05-05,97824.75300997832,103.1309101019142,97721.6220998764,XLF,6271
2005-05-06,97116.08269232848,103.1309101019142,97012.95178222656,XLF,6271
2005-05-09,97959.7147647772,103.1309101019142,97856.5838546753,XLF,6271
2005-05-10,96677.47941607573,103.1309101019142,96574.34850597382,XLF,6271
2005-05-11,97116.08269232848,103.1309101019142,97012.95178222656,XLF,6271
2005-05-12,96205.0325376425,103.1309101019142,96101.90162754059,XLF,6271
2005-05-13,95361.47223109343,103.1309101019142,95258.34132099152,XLF,6271
2005-05-16,96758.26225596001,102.22653513481782,96656.0357208252,QQQ,3102
2005-05-17,97341.18890696099,102.22653513481782,97238.96237182617,QQQ,3102
2005-05-18,98665.97971277764,102.22653513481782,98563.75317764282,QQQ,3102
2005-05-19,99487.31557779839,102.22653513481782,99385.08904266357,QQQ,3102
2005-05-20,99884.80429392388,102.22653513481782,99782.57775878906,QQQ,3102
2005-05-23,100388.18823557427,102.22653513481782,100285.96170043945,QQQ,3102
2005-05-24,100706.15790873101,102.22653513481782,100603.93137359619,QQQ,3102
2005-05-25,100282.19834452202,102.22653513481782,100179.9718093872,QQQ,3102
2005-05-26,101289.01356058648,102.22653513481782,101186.78702545166,QQQ,3102
2005-05-27,101341.95525675347,102.22653513481782,101239.72872161865,QQQ,3102
2005-05-31,100997.58573465874,102.22653513481782,100895.35919952393,QQQ,3102
2005-06-01,101818.93934946587,102.22653513481782,101716.71281433105,QQQ,3102
2005-06-02,102534.33857279351,102.22653513481782,102432.11203765869,QQQ,3102
2005-06-03,101050.56293039849,102.22653513481782,100948.33639526367,QQQ,3102
2005-06-06,101076.99827890923,102.22653513481782,100974.77174377441,QQQ,3102
2005-06-07,100229.22114878228,102.22653513481782,100126.99461364746,QQQ,3102
2005-06-08,100017.20586710503,102.22653513481782,99914.97933197021,QQQ,3102
2005-06-09,100653.10971384576,102.22653513481782,100550.88317871094,QQQ,3102
2005-06-10,99593.26996927788,102.22653513481782,99491.04343414307,QQQ,3102
2005-06-13,99770.84241531804,123.22853325321921,99647.61388206482,XLE,4079
2005-06-14,100384.82259987309,123.22853325321921,100261.59406661987,XLE,4079
2005-06-15,101590.03402946904,123.22853325321921,101466.80549621582,XLE,4079
2005-06-16,103022.60259293034,123.22853325321921,102899.37405967712,XLE,4079
2005-06-17,104690.12942360356,123.22853325321921,104566.90089035034,XLE,4079
2005-06-20,104804.20088432744,123.22853325321921,104680.97235107422,XLE,4079
2005-06-21,102591.4775128217,123.22853325321921,102468.24897956848,XLE,4079
2005-06-22,103184.64599655583,123.22853325321921,103061.41746330261,XLE,4079
2005-06-23,103275.8362564893,123.22853325321921,103152.60772323608,XLE,4079
