,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,134877.24022686924,710890.137008667
Total Return (%),34.87724022686925,611.9580741198467
CAGR (%),1.509634150616157,10.329203694631616
Volatility (%),25.93390909874161,19.02558740764768
Sharpe Ratio,0.05821082139481275,0.542911158184772
Max Drawdown (%),-68.45679704144767,-55.157713344023065
Calmar Ratio,0.02205236318173253,0.18726671336441283
Win Rate (%),51.8982309679984,55.05863645398529
Avg Win (%),1.0499053430766399,
Avg Loss (%),-1.1204193226328774,
Total Trades,5032.0,
Alpha (%),-8.819569544015458,0.0
Relative Sharpe,-0.4847003367899592,0.0
Relative Max DD (%),-13.299083697424606,0.0
Relative Volatility (%),6.908321691093928,0.0
