,Value
Initial Capital,100000.0
Final Equity,212388.7935700913
Total Return (%),112.38879357009131
CAGR (%),3.8442810729187205
Volatility (%),12.404906768525635
Sharpe Ratio,0.3099000375135932
Sortino Ratio,0.3065182301439008
Max Drawdown (%),-32.91078067837989
Calmar Ratio,0.11680917297243414
Win Rate (%),37.4080699662095
Avg Win (%),0.6178466927102206
Avg Loss (%),-0.675074237951449
Total Trades,5032.0
