date,equity,cash,position_value,position,shares
2013-10-24,100000.0,100000.0,0.0,,0
2013-10-25,100000.0,100000.0,0.0,,0
2013-10-28,100000.0,100000.0,0.0,,0
2013-10-29,100000.0,100000.0,0.0,,0
2013-10-30,100000.0,100000.0,0.0,,0
2013-10-31,100000.0,100000.0,0.0,,0
2013-11-01,100000.0,100000.0,0.0,,0
2013-11-04,100000.0,100000.0,0.0,,0
2013-11-05,100000.0,100000.0,0.0,,0
2013-11-06,100000.0,100000.0,0.0,,0
2013-11-07,100000.0,100000.0,0.0,,0
2013-11-08,100000.0,100000.0,0.0,,0
2013-11-11,100000.0,100000.0,0.0,,0
2013-11-12,100000.0,100000.0,0.0,,0
2013-11-13,100000.0,100000.0,0.0,,0
2013-11-14,100000.0,100000.0,0.0,,0
2013-11-15,100000.0,100000.0,0.0,,0
2013-11-18,100000.0,100000.0,0.0,,0
2013-11-19,100000.0,100000.0,0.0,,0
2013-11-20,100000.0,100000.0,0.0,,0
2013-11-21,100000.0,100000.0,0.0,,0
2013-11-22,100000.0,100000.0,0.0,,0
2013-11-25,100000.0,100000.0,0.0,,0
2013-11-26,100000.0,100000.0,0.0,,0
2013-11-27,100000.0,100000.0,0.0,,0
2013-11-29,100000.0,100000.0,0.0,,0
2013-12-02,99850.40849838733,122.74075661181996,99727.66774177551,FXI,3345
2013-12-03,98948.13741837024,122.74075661181996,98825.39666175842,FXI,3345
2013-12-04,99474.46859512806,122.74075661181996,99351.72783851624,FXI,3345
2013-12-05,98872.94816170215,122.74075661181996,98750.20740509033,FXI,3345
2013-12-06,100752.70509872913,122.74075661181996,100629.96434211731,FXI,3345
2013-12-09,100075.98902855396,122.74075661181996,99953.24827194214,FXI,3345
2013-12-10,99950.63319359302,122.74075661181996,99827.8924369812,FXI,3345
2013-12-11,96692.3831573534,122.74075661181996,96569.64240074158,FXI,3345
2013-12-12,95639.75270424366,122.74075661181996,95517.01194763184,FXI,3345
2013-12-13,96316.46239433765,122.74075661181996,96193.72163772583,FXI,3345
2013-12-16,96291.39505539417,122.74075661181996,96168.65429878235,FXI,3345
2013-12-17,95092.9287067461,122.74075661181996,94970.18795013428,FXI,3345
2013-12-18,96981.24771271228,122.74075661181996,96858.50695610046,FXI,3345
2013-12-19,94765.6369224596,122.74075661181996,94642.89616584778,FXI,3345
2013-12-20,94085.83927307605,122.74075661181996,93963.09851646423,FXI,3345
2013-12-23,93959.94751129627,122.74075661181996,93837.20675468445,FXI,3345
2013-12-24,95672.01039467334,122.74075661181996,95549.26963806152,FXI,3345
2013-12-26,94891.54144440174,122.74075661181996,94768.80068778992,FXI,3345
2013-12-27,96301.45644340992,122.74075661181996,96178.7156867981,FXI,3345
2013-12-30,95722.37475548267,122.74075661181996,95599.63399887085,FXI,3345
2013-12-31,96729.48332939624,122.74075661181996,96606.74257278442,FXI,3345
2014-01-02,93302.28204290867,97.44447271824174,93204.83757019043,EWY,1851
