,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,123008.43083390233,682312.7624511719
Total Return (%),23.008430833902317,583.3377691048291
CAGR (%),0.8333649387207265,13.69610693596428
Volatility (%),14.153355308396945,17.046927721315058
Sharpe Ratio,0.058881086538278685,0.8034355022717089
Sortino Ratio,0.05746850005882113,0.9833300792627361
Max Drawdown (%),-36.84679127509285,-33.71045890802925
Calmar Ratio,0.022617028780035246,0.4062865763213358
Win Rate (%),30.205185303006203,55.302226935312824
Avg Win (%),0.7858472335292008,0.7005348325656123
Avg Loss (%),-0.8651607055969713,-0.7450758993461694
Total Trades,553.0,1.0
Alpha (%),-12.862741997243553,0.0
Relative Sharpe,-0.7445544157334302,0.0
Relative Max DD (%),-3.136332367063595,0.0
Relative Volatility (%),-2.893572412918113,0.0
