date,action,bucket,symbol,shares,price,value,cost,cash_after
2010-01-04,BUY,AI_US_Sectors_Basic,XLK,1750,18.809368133544922,32916.39423370361,49.37459135055542,67034.23117494583
2010-01-04,BUY,AI_Global_Developed,EWC,1697,19.38055419921875,32888.80047607422,49.33320071411133,34096.0974981575
2010-01-04,BUY,AI_Real_Assets,XME,772,43.84182357788086,33845.88780212402,50.76883170318604,199.4408643302886
2010-02-01,SELL,AI_US_Sectors_Basic,XLK,1750,17.13617515563965,29988.306522369385,44.98245978355408,30142.76492691612
2010-02-01,BUY,AI_US_Sectors_Basic,XLV,1245,24.07123565673828,29968.68839263916,44.95303258895874,129.12350168800185
2010-02-01,SELL,AI_Global_Developed,EWC,1697,17.926294326782227,30420.92147254944,45.63138220882416,30504.413592028617
2010-02-01,BUY,AI_Global_Developed,EWJ,973,30.761363983154297,29930.80715560913,44.896210733413696,528.7102256860708
2010-02-01,SELL,AI_Real_Assets,XME,772,39.540103912353516,30524.960220336914,45.787440330505376,31007.883005692478
2010-02-01,BUY,AI_Real_Assets,GLD,284,108.3499984741211,30771.39956665039,46.15709934997559,190.3263396921102
2010-03-01,SELL,AI_US_Sectors_Basic,XLV,1245,24.254865646362305,30197.30772972107,45.295961594581605,30342.3381078186
2010-03-01,BUY,AI_US_Sectors_Basic,XLY,1181,25.5394229888916,30162.05854988098,45.24308782482147,135.03647011279827
2010-03-01,SELL,AI_Global_Developed,EWJ,973,31.070842742919922,30231.929988861084,45.347894983291624,30321.61856399059
2010-03-01,BUY,AI_Global_Developed,EWC,1583,19.03498649597168,30132.38362312317,45.198575434684756,144.03636543273387
2010-03-01,SELL,AI_Real_Assets,GLD,284,109.43000030517578,31078.120086669922,46.61718013000488,31175.53927197265
2010-03-01,BUY,AI_Real_Assets,XME,731,42.41059494018555,31002.144901275635,46.50321735191345,126.8911533451028
2010-04-01,SELL,AI_Global_Developed,EWC,1583,20.46045684814453,32388.903190612793,48.58335478591919,32467.210989171977
2010-04-01,BUY,AI_Global_Developed,EWA,2637,12.365334510803223,32607.387104988098,48.911080657482145,-189.0871964736034
2010-06-01,SELL,AI_Global_Developed,EWA,2637,9.843754768371582,25957.98132419586,38.9369719862938,25729.957155735963
2010-06-01,BUY,AI_Global_Developed,EWC,1511,18.617427825927734,28130.933444976807,42.196400167465214,-2443.1726894083076
2010-06-01,SELL,AI_Real_Assets,XME,731,39.23198699951172,28678.582496643066,43.017873744964604,26192.391933489795
2010-06-01,BUY,AI_Real_Assets,VNQ,1099,26.336288452148438,28943.581008911133,43.4153715133667,-2794.6044469347034
2010-07-01,SELL,AI_US_Sectors_Basic,XLY,1181,24.320852279663086,28722.926542282104,43.08438981342316,25885.23770553398
2010-07-01,SELL,AI_Global_Developed,EWC,1511,17.83606719970703,26950.297538757324,40.42544630813599,52795.10979798317
2010-07-01,SELL,AI_Real_Assets,VNQ,1099,25.406208038330078,27921.422634124756,41.882133951187136,80674.65029815673
2010-07-01,BUY,AI_Real_Assets,GLD,233,117.04000091552734,27270.32021331787,40.9054803199768,53363.424604518885
2010-09-01,SELL,AI_Real_Assets,GLD,233,121.69000244140625,28353.770568847656,42.53065585327148,81674.66451751327
2010-10-01,BUY,AI_US_Sectors_Basic,XLU,1426,18.852313995361328,26883.399757385254,40.32509963607788,54750.939660491946
2010-10-01,BUY,AI_Global_Developed,EWC,1308,20.532133102416992,26856.030097961426,40.28404514694214,27854.625517383578
2010-10-01,BUY,AI_Real_Assets,GDX,559,49.45935821533203,27647.781242370605,41.47167186355591,165.37260314941523
2010-11-01,SELL,AI_Global_Developed,EWC,1308,21.039459228515625,27519.612670898438,41.27941900634766,27643.705855041506
2010-11-01,BUY,AI_Global_Developed,EWU,1419,19.101539611816406,27105.08470916748,40.65762706375122,497.96351881027294
2011-01-03,SELL,AI_US_Sectors_Basic,XLU,1426,19.0417423248291,27153.5245552063,40.73028683280945,27610.757787183764
2011-01-03,BUY,AI_US_Sectors_Basic,XLY,886,31.629222869873047,28023.49146270752,42.03523719406128,-454.7689127178164
2011-01-03,SELL,AI_Global_Developed,EWU,1419,19.51953887939453,27698.22566986084,41.547338504791256,27201.90941863823
2011-01-03,BUY,AI_Global_Developed,EWC,1223,22.889183044433594,27993.470863342285,41.99020629501343,-833.5516509990666
2011-01-03,SELL,AI_Real_Assets,GDX,559,53.46152877807617,29884.99458694458,44.82749188041687,29006.615444065097
2011-01-03,BUY,AI_Real_Assets,VNQ,914,31.54851531982422,28835.343002319336,43.25301450347901,128.01942724228138
2011-02-01,SELL,AI_Global_Developed,EWC,1223,23.379928588867188,28593.65266418457,42.890478996276855,28678.781612430575
2011-02-01,BUY,AI_Global_Developed,EWA,2128,13.273998260498047,28247.068298339844,42.37060244750977,389.34271164322126
2011-02-01,SELL,AI_Real_Assets,VNQ,914,32.057533264160156,29300.585403442383,43.950878105163575,29645.97723698044
2011-02-01,BUY,AI_Real_Assets,GDX,596,48.77253723144531,29068.432189941406,43.602648284912114,533.9423987541231
2011-04-01,SELL,AI_US_Sectors_Basic,XLY,886,32.95093536376953,29194.528732299805,43.79179309844971,29684.679337955477
2011-04-01,BUY,AI_US_Sectors_Basic,XLE,615,48.668827056884766,29931.32863998413,44.896992959976195,-291.5462949886314
2011-04-01,SELL,AI_Global_Developed,EWA,2128,14.090217590332031,29983.983032226562,44.97597454833985,29647.460762689592
2011-04-01,BUY,AI_Global_Developed,EWC,1204,24.852155685424805,29921.995445251465,44.882993167877196,-319.41767572975004
2011-04-01,SELL,AI_Real_Assets,GDX,596,52.581790924072266,31338.74739074707,47.0081210861206,30972.3215939312
2011-04-01,BUY,AI_Real_Assets,GLD,221,139.1999969482422,30763.199325561523,46.14479898834229,162.97746938133423
