,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,196869.76029127903,194883.66174316406
Total Return (%),96.86976029127902,95.17642638273817
CAGR (%),14.545022553330988,14.346822600625897
Volatility (%),28.525342271636095,20.979644570325505
Sharpe Ratio,0.5098982657183992,0.6838448836697
Max Drawdown (%),-31.380857701406732,-33.67680704984312
Calmar Ratio,0.46349984094535973,0.42601493007908925
Win Rate (%),53.34394904458599,54.77707006369427
Avg Win (%),1.2264409550579938,
Avg Loss (%),-1.3123459943819842,
Total Trades,1257.0,
Alpha (%),0.1981999527050906,0.0
Relative Sharpe,-0.17394661795130073,0.0
Relative Max DD (%),2.2959493484363875,0.0
Relative Volatility (%),7.545697701310591,0.0
