date,action,symbol,shares,price,value,cost,cash_after
2010-01-04,BUY,EWT,6944,14.364165306091309,99744.76388549805,149.61714582824706,105.61896867370524
2010-02-01,SELL,EWT,6944,12.964361190795898,90024.52410888672,135.03678616333008,89995.1062913971
2010-02-01,BUY,EWY,2462,36.45915985107422,89762.45155334473,134.6436773300171,98.01106072234688
2010-03-01,SELL,EWY,2462,36.224090576171875,89183.71099853516,133.77556649780274,89147.9464927597
2010-03-01,BUY,EWZ,2475,35.91775131225586,88896.43449783325,133.3446517467499,118.16734317969531
2010-04-01,SELL,EWZ,2475,38.63426208496094,95619.79866027832,143.42969799041748,95594.5363054676
2010-04-01,BUY,EWY,2357,40.43964385986328,95316.24057769775,142.97436086654665,135.32136690329935
2010-06-01,SELL,EWY,2357,34.077125549316406,80319.78491973877,120.47967737960815,80334.62660926246
2010-06-01,BUY,FXI,3033,26.414119720458984,80114.0251121521,120.17103766822817,100.43045944212645
2010-07-01,SELL,FXI,3033,27.340545654296875,82923.87496948242,124.38581245422364,82899.91961647033
2010-10-01,BUY,EWZ,2045,40.434757232666016,82689.078540802,124.033617811203,86.80745785712497
2010-11-01,SELL,EWZ,2045,40.3881721496582,82593.81204605103,123.89071806907654,82556.72878583908
2010-11-01,BUY,EWY,1887,43.618831634521484,82308.73529434204,123.46310294151306,124.53038855551858
2011-10-03,SELL,EWY,1887,35.96508026123047,67866.1064529419,101.79915967941284,67888.837681818
2011-11-01,BUY,EWY,1563,43.32175827026367,67711.90817642212,101.56786226463316,75.36164313124027
2013-05-01,SELL,EWY,1563,46.572513580322266,72792.8387260437,109.18925808906555,72759.01111108587
2013-05-01,BUY,FXI,2674,27.133834838867188,72555.87435913086,108.83381153869628,94.30294041630987
2013-07-01,SELL,FXI,2674,24.336702346801758,65076.3420753479,97.61451311302184,65073.030502651185
2013-07-01,BUY,EWT,4155,15.621543884277344,64907.51483917236,97.36127225875855,68.15439122006501
2013-12-02,SELL,EWT,4155,16.55626678466797,68791.28849029541,103.18693273544312,68756.25594878005
2013-12-02,BUY,EWY,1332,51.45199203491211,68534.05339050293,102.80108008575439,119.40147819135746
2014-02-03,SELL,EWY,1332,46.947296142578125,62533.79846191406,93.8006976928711,62559.399242412546
2014-02-03,BUY,EWT,3947,15.809530258178711,62400.21592903137,93.60032389354706,65.58298948762967
2014-03-03,SELL,EWT,3947,16.547624588012695,65313.47424888611,97.97021137332916,65281.08702700041
2014-03-03,BUY,EWY,1315,49.48786163330078,65076.53804779053,97.6148070716858,106.93417213819339
2014-06-02,SELL,EWY,1315,52.82898712158203,69470.11806488037,104.20517709732056,69472.84705992125
2014-06-02,BUY,EWZ,2584,26.815872192382812,69292.21374511719,103.9383206176758,76.69499418638588
2014-10-01,SELL,EWZ,2584,24.918636322021484,64389.756256103516,96.58463438415527,64369.86661590575
2014-10-01,BUY,FXI,2244,28.60951042175293,64199.741386413574,96.29961207962037,73.82561741254904
2015-08-03,SELL,FXI,2244,31.009750366210938,69585.87982177734,104.37881973266602,69555.32661945722
2015-08-03,BUY,EWT,3968,17.484336853027344,69377.8486328125,104.06677294921874,73.4112136955082
2015-09-01,SELL,EWT,3968,15.74804401397705,62488.23864746094,93.7323579711914,62467.91750318526
2015-12-01,BUY,EWY,1402,44.4239616394043,62282.394218444824,93.42359132766724,92.09969341276883
2016-04-01,SELL,EWY,1402,44.072086334228516,61789.06504058838,92.68359756088257,61788.48113644026
2016-04-01,BUY,EWZ,3697,16.66888427734375,61624.865173339844,92.43729776000976,71.17866534041241
2017-05-01,SELL,EWZ,3697,23.69624900817871,87605.0325832367,131.40754887485502,87544.80369970226
2017-05-01,BUY,EWY,1632,53.50388717651367,87318.34387207031,130.97751580810547,95.48231182384188
2018-01-02,SELL,EWY,1632,66.93072509765625,109230.943359375,163.8464150390625,109162.57925615978
2018-01-02,BUY,FXI,2726,39.94351577758789,108886.02400970459,163.3290360145569,113.22621044062544
2018-05-01,SELL,FXI,2726,39.1993408203125,106857.40307617188,160.28610461425782,106810.34318199824
2018-05-01,BUY,EWZ,3958,26.914302825927734,106526.81058502197,159.79021587753297,123.74238109872385
2018-06-01,SELL,EWZ,3958,23.074010848999023,91326.93494033813,136.99040241050722,91313.68691902635
2018-06-01,BUY,FXI,2303,39.53379821777344,91046.33729553223,136.56950594329834,130.78011755082116
2018-07-02,SELL,FXI,2303,35.66059112548828,82126.34136199951,123.18951204299927,82133.93196750733
2018-07-02,BUY,EWT,3481,23.529659271240234,81906.74392318726,122.8601158847809,104.32792843530478
2018-08-01,SELL,EWT,3481,24.92034912109375,86747.73529052734,130.12160293579103,86721.94161602686
2018-08-01,BUY,EWZ,3669,23.57433319091797,86494.22847747803,129.74134271621705,97.97179583262186
2018-09-04,SELL,EWZ,3669,20.27955436706543,74405.68497276306,111.6085274591446,74392.04824113654
2018-09-04,BUY,EWT,2995,24.768754959106445,74182.4211025238,111.27363165378571,98.35350695894158
2018-11-01,SELL,EWT,2995,22.33669662475586,66898.4063911438,100.34760958671569,66896.41228851602
2019-03-01,BUY,FXI,1763,37.83905029296875,66710.2456665039,100.06536849975586,86.10125351235911
2019-04-01,SELL,FXI,1763,38.5329475402832,67933.58651351929,101.90037977027893,67917.78738726137
2019-04-01,BUY,EWT,2855,23.727331161499023,67741.53046607971,101.61229569911956,74.64462548254232
2019-06-03,SELL,EWT,2855,22.591629028320312,64499.10087585449,96.74865131378175,64476.99685002325
2019-06-03,BUY,EWZ,2304,27.908166885375977,64300.41650390625,96.45062475585937,80.12972136113967
2019-08-01,SELL,EWZ,2304,29.725143432617188,68486.73046875,102.73009570312499,68464.13009440801
2019-08-01,BUY,EWT,2900,23.54371452331543,68276.77211761475,102.41515817642212,84.94281861685158
2019-10-01,SELL,EWT,2900,24.77462387084961,71846.40922546387,107.76961383819581,71823.58243024252
2019-10-01,BUY,EWY,1429,50.11520767211914,71614.63176345825,107.42194764518737,101.52871913908166
2019-11-01,SELL,EWY,1429,53.737022399902344,76790.20500946045,115.18530751419067,76776.54842108535
2019-11-01,BUY,EWZ,2521,30.371782302856445,76567.2631855011,114.85089477825166,94.434340805994
2019-12-02,SELL,EWZ,2521,29.011150360107422,73137.11005783081,109.70566508674622,73121.83873355006
2019-12-02,BUY,EWT,2722,26.78760528564453,72915.86158752441,109.37379238128662,96.60335364435741
2020-01-02,SELL,EWT,2722,29.04631996154785,79064.08293533325,118.59612440299989,79042.0901645746
2020-01-02,BUY,EWZ,2382,33.09298324584961,78827.48609161377,118.24122913742065,96.36284382341546
