,Value
Initial Capital,100000.0
Final Equity,300012.23368393315
Total Return (%),200.01223368393318
CAGR (%),21.98785548237545
Volatility (%),27.05060295169104
Sharpe Ratio,0.8128416036286874
Sortino Ratio,1.1004798718065856
Max Drawdown (%),-30.770553442117105
Calmar Ratio,0.7145745858532281
Win Rate (%),51.65229885057471
Avg Win (%),1.258031070335454
Avg Loss (%),-1.2949817982806069
Total Trades,1393.0
