,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,300012.23368393315,219270.88403320312
Total Return (%),200.01223368393318,119.60028445989295
CAGR (%),21.98785548237545,15.292999050514865
Volatility (%),27.05060295169104,20.312640837733127
Sharpe Ratio,0.8128416036286874,0.7528808869650427
Sortino Ratio,1.1004798718065856,0.9129721743040569
Max Drawdown (%),-30.770553442117105,-33.711120265728155
Calmar Ratio,0.7145745858532281,0.45364849729014306
Win Rate (%),51.65229885057471,55.172413793103445
Avg Win (%),1.258031070335454,0.8266786176057015
Avg Loss (%),-1.2949817982806069,-0.8758101772197888
Total Trades,1393.0,1393.0
Alpha (%),6.694856431860586,0.0
Relative Sharpe,0.059960716663644664,0.0
Relative Max DD (%),2.94056682361105,0.0
Relative Volatility (%),6.737962113957913,0.0
