,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,134876.91259069898,710890.1556091309
Total Return (%),34.876912590698986,611.9580927482533
CAGR (%),1.5096218019274854,10.329203839199463
Volatility (%),25.934077016191786,19.025594370561567
Sharpe Ratio,0.05820996833567518,0.5429109670908316
Max Drawdown (%),-68.45710363054948,-55.157738624920086
Calmar Ratio,0.02205208403315804,0.18726663015391937
Win Rate (%),51.8982309679984,55.05863645398529
Avg Win (%),1.0499091930037192,0.7404724249341839
Avg Loss (%),-1.120423315322499,-0.810070696459184
Total Trades,5032.0,5032.0
Alpha (%),-8.819582037271978,0.0
Relative Sharpe,-0.4847009987551565,0.0
Relative Max DD (%),-13.299365005629397,0.0
Relative Volatility (%),6.908482645630219,0.0
