,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,127785.95716904216,770898.2166748047
Total Return (%),27.785957169042153,672.0563011264944
CAGR (%),1.2193591964494432,10.631170923917832
Volatility (%),13.421682725436163,18.94381621524678
Sharpe Ratio,0.09084994939856306,0.5611947879520399
Sortino Ratio,0.0889742098915225,0.682323334308159
Max Drawdown (%),-39.972810872923176,-55.17968202734832
Calmar Ratio,0.030504714825431854,0.19266459198965263
Win Rate (%),29.742986070237393,55.130468903276444
Avg Win (%),0.7771168160146699,0.7373252507150145
Avg Loss (%),-0.8673220759184176,-0.806304475300715
Total Trades,250.0,1.0
Alpha (%),-9.41181172746839,0.0
Relative Sharpe,-0.47034483855347686,0.0
Relative Max DD (%),15.206871154425144,0.0
Relative Volatility (%),-5.522133489810617,0.0
