,Value
Initial Capital,100000.0
Final Equity,94547.62594592186
Total Return (%),-5.452374054078146
CAGR (%),-1.1177128603315878
Volatility (%),18.252696986786844
Sharpe Ratio,-0.06123549090530029
Max Drawdown (%),-41.703734056958545
Calmar Ratio,0.026801265776465643
Win Rate (%),49.52229299363057
Avg Win (%),0.8466828585372923
Avg Loss (%),-0.8776290507049068
Total Trades,1257.0
