,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,125269.10261971092,682312.7624511719
Total Return (%),25.269102619710914,583.3377691048291
CAGR (%),1.1214270492608813,13.69610693596428
Volatility (%),17.813433238899368,17.046922017507875
Sharpe Ratio,0.0629540097195868,0.8034357710968484
Sortino Ratio,0.06583140892578847,0.9833304826737967
Max Drawdown (%),-53.46188316298265,-33.71045240366222
Calmar Ratio,0.020976198048282827,0.40628665471355024
Win Rate (%),26.011787819253442,55.302226935312824
Avg Win (%),1.1741495625203384,0.7005344753717845
Avg Loss (%),-1.1736784527223996,-0.7450754630246508
Total Trades,5091.0,3773.0
Alpha (%),-12.5746798867034,0.0
Relative Sharpe,-0.7404817613772616,0.0
Relative Max DD (%),-19.751430759320435,0.0
Relative Volatility (%),0.7665112213914931,0.0
