,Value
Initial Capital,100000.0
Final Equity,110491.8047997723
Total Return (%),10.491804799772297
CAGR (%),0.4950799511586723
Volatility (%),18.51727097245144
Sharpe Ratio,0.02673611850770094
Sortino Ratio,0.02930564454985582
Max Drawdown (%),-49.198803110052694
Calmar Ratio,0.010062845432463653
Win Rate (%),28.880157170923383
Avg Win (%),1.1584299547994736
Avg Loss (%),-1.1628443658509162
Total Trades,5091.0
