,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,110491.8047997723,682312.646408081
Total Return (%),10.491804799772297,583.3376528874122
CAGR (%),0.4950799511586723,13.696105644462065
Volatility (%),18.51727097245144,17.046909213086703
Sharpe Ratio,0.02673611850770094,0.8034362988187754
Sortino Ratio,0.02930564454985582,0.9833308733297336
Max Drawdown (%),-49.198803110052694,-33.710463042640825
Calmar Ratio,0.010062845432463653,0.4062864881783936
Win Rate (%),28.880157170923383,55.302226935312824
Avg Win (%),1.1584299547994736,0.7005340963020728
Avg Loss (%),-1.1628443658509162,-0.7450750202334224
Total Trades,5091.0,3773.0
Alpha (%),-13.201025693303393,0.0
Relative Sharpe,-0.7767001803110745,0.0
Relative Max DD (%),-15.488340067411869,0.0
Relative Volatility (%),1.4703617593647351,0.0
