,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,127786.16350603139,770898.32762146
Total Return (%),27.78616350603138,672.0564122398197
CAGR (%),1.2193672754552187,10.631171710955222
Volatility (%),13.421674000628862,18.943820055458257
Sharpe Ratio,0.09085061039316603,0.5611947157348592
Sortino Ratio,0.0889748525204052,0.6823235794186453
Max Drawdown (%),-39.97264414221305,-55.17968872849782
Calmar Ratio,0.03050504417763817,0.19266458285518925
Win Rate (%),29.742986070237393,55.130468903276444
Avg Win (%),0.7771159353199234,0.7373254802710824
Avg Loss (%),-0.867320950949191,-0.8063047468896782
Total Trades,250.0,1.0
Alpha (%),-9.411804435500002,0.0
Relative Sharpe,-0.47034410534169324,0.0
Relative Max DD (%),15.207044586284773,0.0
Relative Volatility (%),-5.5221460548293955,0.0
