,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,293619.99554374313,770898.2368469238
Total Return (%),193.61999554374313,672.0563213289172
CAGR (%),5.468600024618997,10.631171067015543
Volatility (%),16.986963449534965,18.943815030421334
Sharpe Ratio,0.32192922772013766,0.5611948306053056
Sortino Ratio,0.3661606759333506,0.6823236992072905
Max Drawdown (%),-41.970097754910284,-55.1796680263702
Calmar Ratio,0.1302975288871992,0.1926646434685859
Win Rate (%),38.493231312536786,55.130468903276444
Avg Win (%),0.8700637535461995,0.7373253232890035
Avg Loss (%),-0.946432384536776,-0.8063045659765624
Total Trades,257.0,1.0
Alpha (%),-5.1625710423965465,0.0
Relative Sharpe,-0.23926560288516796,0.0
Relative Max DD (%),13.209570271459917,0.0
Relative Volatility (%),-1.9568515808863687,0.0
