,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,293622.0390902629,770898.2065887451
Total Return (%),193.6220390902629,672.056291025283
CAGR (%),5.468636309136721,10.631170852368976
Volatility (%),16.98689668145198,18.943813593276218
Sharpe Ratio,0.32193262911335263,0.561194861848848
Sortino Ratio,0.36616526761416207,0.6823238385517729
Max Drawdown (%),-41.969907113407295,-55.17971708389311
Calmar Ratio,0.13029898527913977,0.19266446829014644
Win Rate (%),38.493231312536786,55.130468903276444
Avg Win (%),0.8700618559699976,0.7373257507974388
Avg Loss (%),-0.9464298593155127,-0.8063050983962967
Total Trades,257.0,1.0
Alpha (%),-5.162534543232256,0.0
Relative Sharpe,-0.2392622327354954,0.0
Relative Max DD (%),13.209809970485814,0.0
Relative Volatility (%),-1.956916911824237,0.0
