,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,289641.92381334887,770898.2973632812
Total Return (%),189.64192381334888,672.0563819361855
CAGR (%),5.397507621287456,10.631171496308657
Volatility (%),15.045744145476982,18.943809360608064
Sharpe Ratio,0.3587398249697103,0.5611950212302714
Sortino Ratio,0.3805951864764122,0.6823239072620372
Max Drawdown (%),-25.246375404014827,-55.17970684825069
Calmar Ratio,0.21379336775722318,0.19266451569859486
Win Rate (%),31.999215224641947,55.130468903276444
Avg Win (%),0.859089665016115,0.7373253196952131
Avg Loss (%),-0.9007942094467175,-0.8063045671090119
Total Trades,173.0,1.0
Alpha (%),-5.2336638750212,0.0
Relative Sharpe,-0.20245519626056113,0.0
Relative Max DD (%),29.93333144423586,0.0
Relative Volatility (%),-3.8980652151310817,0.0
