,Strategy,Benchmark
Initial Capital,100000.0,100000.0
Final Equity,134877.12156407762,710890.137008667
Total Return (%),34.877121564077626,611.9580741198467
CAGR (%),1.5096296781893503,10.329203694631616
Volatility (%),25.933902677308566,19.02559773150542
Sharpe Ratio,0.05821066335342709,0.5429108635849574
Max Drawdown (%),-68.45608688157967,-55.15775261882256
Calmar Ratio,0.022052526619010783,0.1872665800220943
Win Rate (%),51.8982309679984,55.05863645398529
Avg Win (%),1.0499069415655955,
Avg Loss (%),-1.120421136018592,
Total Trades,5032.0,
Alpha (%),-8.819574016442266,0.0
Relative Sharpe,-0.4847002002315304,0.0
Relative Max DD (%),-13.298334262757102,0.0
Relative Volatility (%),6.908304945803145,0.0
