,Value
Initial Capital,100000.0
Final Equity,134877.12156407762
Total Return (%),34.877121564077626
CAGR (%),1.5096296781893503
Volatility (%),25.933902677308566
Sharpe Ratio,0.05821066335342709
Max Drawdown (%),-68.45608688157967
Calmar Ratio,0.022052526619010783
Win Rate (%),51.8982309679984
Avg Win (%),1.0499069415655955
Avg Loss (%),-1.120421136018592
Total Trades,5032.0
