,Value
Initial Capital,100000.0
Final Equity,82583.38748350863
Total Return (%),-17.41661251649137
CAGR (%),-0.76397412758622
Volatility (%),13.751610508607715
Sharpe Ratio,-0.055555247664120226
Sortino Ratio,-0.054256186018693975
Max Drawdown (%),-42.20258323685325
Calmar Ratio,0.018102544180733524
Win Rate (%),29.91888022904406
Avg Win (%),0.7727079047031792
Avg Loss (%),-0.857348015242765
Total Trades,720.0
