,Value
Initial Capital,100000.0
Final Equity,86661.41956175324
Total Return (%),-13.338580438246762
CAGR (%),-1.1965432274176235
Volatility (%),23.249890179555578
Sharpe Ratio,-0.05146446792552099
Sortino Ratio,-0.0644888735731127
Max Drawdown (%),-58.4032498176297
Calmar Ratio,0.020487613808374633
Win Rate (%),51.902536715620826
Avg Win (%),1.0001671501459948
Avg Loss (%),-1.1601342831301442
Total Trades,2997.0
